Frame,CentroidX,CentroidY,Displacement,CumulativeDistance,Area,Perimeter,Circularity,Eccentricity,MajorAxisLength,MinorAxisLength,Solidity,Extent
1,223.8219403,178.1556996,0,0,10957,486.217,0.582426661,0.809001146,162.5570569,95.55218661,0.893355075,0.63087287
2,223.1414278,177.9497927,0.71098166,0.71098166,11094,489.11,0.582753568,0.809224614,163.4600272,96.03266493,0.894966118,0.63876094
3,223.4629944,177.98393,0.3233735,1.03435516,11201,498.844,0.565636147,0.804467738,162.9462617,96.78948386,0.892225585,0.634977324
4,221.2806901,176.8211205,2.472767251,3.50712241,10549,479.459,0.576657847,0.815194055,161.1472141,93.33452047,0.88961039,0.629190027
5,219.7373496,176.0845904,1.710080816,5.217203227,10474,483.263,0.563579701,0.81788164,161.2952016,92.80708139,0.887777589,0.618592015
6,218.6797674,175.9278679,1.069131496,6.286334723,10661,485.396,0.568611215,0.819153295,161.091057,92.39774657,0.897315041,0.639723972
7,219.2441795,176.8861985,1.112186438,7.398521161,10738,484.216,0.575512806,0.816150049,162.2818229,93.77293304,0.885754351,0.618263473
8,216.8895872,175.8228893,2.583550169,9.98207133,10660,488.085,0.56231044,0.809620985,160.4232629,94.16092029,0.89011356,0.631067961
9,215.8056001,174.3248798,1.849070217,11.83114155,10607,480.26,0.577895882,0.803170538,159.0138788,94.73238815,0.895029955,0.624124743
10,213.7021006,173.1350269,2.416704344,14.24784589,10235,483.907,0.549254852,0.818650047,159.5451458,91.62561182,0.888840643,0.634256677
11,213.7266019,172.0313592,1.103939575,15.35178547,10300,477.184,0.568427842,0.816218355,159.7397363,92.28860061,0.893554264,0.635802469
12,212.4178723,172.1979136,1.319285316,16.67107078,10161,474.134,0.567994482,0.823675408,159.9295273,90.68988853,0.886417168,0.629670943
13,213.263687,172.2289468,0.846383902,17.51745468,10046,474.902,0.55975121,0.824066337,159.4727681,90.34025661,0.886594299,0.61874846
14,214.5027478,172.5452404,1.278793643,18.79624833,10190,471.801,0.575262857,0.827634685,161.1814564,90.46585877,0.885470977,0.623813897
